P,um,Fluid,SAT,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
686465.5,22.23185013,Water,Pressure,0.00405283,0.397586623,2.049640269,9.81E-05,0.015,0.00043,7,0.000314,0.001,0.6,1000
632628.883,15.69115426,FC-40,Pressure,0.00297673,0.242953699,5.202092308,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
620528,19.3757436,Water,Pressure,0.00443,4.123853865,13.1659,0.000837803,0.03,0.00076,7,0.001963,0.0009,0.6,1000
620528,19.3757436,Water,Pressure,0.00443,3.892103554,12.7786,0.000790721,0.03,0.00076,7,0.001963,0.0009,0.6,1000
620528,19.3757436,Water,Pressure,0.00443,3.673169504,12.1271,0.000746242,0.03,0.00076,7,0.001963,0.0009,0.6,1000
620528,19.3757436,Water,Pressure,0.00443,3.516868211,11.3374,0.000714488,0.03,0.00076,7,0.001963,0.0009,0.6,1000
620528,19.3757436,Water,Pressure,0.00443,3.416082253,10.4414,0.000694012,0.03,0.00076,7,0.001963,0.0009,0.6,1000
620528,19.3757436,Water,Pressure,0.00443,3.270646414,9.68866,0.000664465,0.03,0.00076,7,0.001963,0.0009,0.6,1000
600000,22.5166605,Water,Pressure,0.0700742,97.67642738,228.7506058,0.0013939,0.05,0.0045,7,0.002,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.0392479,42.9595739,126.9465867,0.00109457,0.05,0.0045,7,0.002,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.028125,18.92235938,54.64227938,0.000672795,0.05,0.0045,7,0.002,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.0115996,6.147068825,22.40895827,0.000529938,0.05,0.0045,7,0.002,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.578272306,9.72E-05,0.0171698,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.537639854,9.72E-05,0.0190566,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.522094722,9.72E-05,0.0216038,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.501492603,9.72E-05,0.0242453,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.483095019,9.72E-05,0.0137736,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.470940109,9.72E-05,0.0261321,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.435332248,9.72E-05,0.0281132,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.407964263,9.72E-05,0.0110377,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.379566091,9.72E-05,0.0300943,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.298492323,9.72E-05,0.0327358,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.222585687,9.72E-05,0.0346226,0.0004,7,0.0009,0.001,0.6,1000
600000,22.5166605,Water,Pressure,0.00324963,0.315823207,1.136584515,9.72E-05,0.0366038,0.0004,7,0.0009,0.001,0.6,1000
595000,20.69782597,Water,Pressure,0.0700742,92,215,0.001312894,0.05,0.00445,7,0.002,0.001,0.6,1000
595000,20.69782597,Water,Pressure,0.0392479,37,105,0.000942726,0.05,0.00445,7,0.002,0.001,0.6,1000
590000,20.61067684,Water,Pressure,0.0700742,87,205,0.001241541,0.05,0.0044,7,0.002,0.001,0.6,1000
590000,20.61067684,Water,Pressure,0.0392479,32,91,0.00081533,0.05,0.0044,7,0.002,0.001,0.6,1000
585000,20.52315765,Water,Pressure,0.0700742,82,192,0.001170188,0.05,0.00435,7,0.002,0.001,0.6,1000
585000,20.52315765,Water,Pressure,0.0392479,37,111,0.000942726,0.05,0.00435,7,0.002,0.001,0.6,1000
584772,20.51915788,Water,Pressure,0.033120211,3.980633682,13.9804245,0.000120187,0.01451,0.00056,7,0.0002,0.001,0.6,1000
580000,20.43526364,Water,Pressure,0.0700742,77,182,0.001098835,0.05,0.0043,7,0.002,0.001,0.6,1000
580000,20.43526364,Water,Pressure,0.0392479,32,94.56077905,0.00081533,0.05,0.0043,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.0700742,75,202.5,0.001070294,0.05,0.00429,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.0700742,74,200.54,0.001056023,0.05,0.00428,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.069127251,73,196.37,0.001056023,0.05,0.00427,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.0700742,73,196.37,0.001041753,0.05,0.00427,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.069127251,72,187.2,0.001041557,0.05,0.00427,7,0.002,0.001,0.6,1000
579000,20.41763943,Water,Pressure,0.06720705,70,168,0.001041557,0.05,0.00427,7,0.002,0.001,0.6,1000
555838,20.00508335,Water,Pressure,0.032472935,3.954472791,12.45769603,0.000121777,0.01451,0.00056,7,0.0002,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.65670873,9.94E-05,0.020414,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.621260133,9.94E-05,0.0185032,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.58580988,9.94E-05,0.0171656,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.555425842,9.94E-05,0.0157643,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.555425842,9.94E-05,0.0225159,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.48959155,9.94E-05,0.0240446,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.413628141,9.94E-05,0.0257006,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.373114986,9.94E-05,0.0263376,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.332601831,9.94E-05,0.0275478,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.281959558,9.94E-05,0.028758,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.18067667,9.94E-05,0.0296497,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.135098956,9.94E-05,0.0319427,0.0004,7,0.0009,0.001,0.6,1000
550000,20.5630737,Water,Pressure,0.002907407,0.289003634,1.094585801,9.94E-05,0.0337261,0.0004,7,0.0009,0.001,0.6,1000
550000,19.89974874,Water,Pressure,0.036,2.448,11.0025696,0.000068,0.00866,0.0003,7,0.0001,0.001,0.6,1000
550000,19.89974874,Water,Pressure,0.033,2.244,10.54975198,0.000068,0.00866,0.0003,7,0.0001,0.001,0.6,1000
547968.1121,14.60353605,FC-40,Pressure,0.00259479,0.211780654,4.859838462,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
537563,19.67346843,Water,Pressure,0.031739016,3.898709629,10.81526251,0.000122837,0.01451,0.00056,7,0.0002,0.001,0.6,1000
516244,19.27941078,Water,Pressure,0.031091564,3.859417511,9.33119409,0.000124131,0.01451,0.00056,7,0.0002,0.001,0.6,1000
501015,18.99291447,Water,Pressure,0.030328998,3.794070257,7.649626188,0.000125097,0.01451,0.00056,7,0.0002,0.001,0.6,1000
500000,18.97366596,Water,Pressure,0.069127251,71,156.2,0.001041557,0.05,0.00427,7,0.002,0.001,0.6,1000
500000,18.97366596,Water,Pressure,0.06720705,69,138,0.001041557,0.05,0.00427,7,0.002,0.001,0.6,1000
500000,18.97366596,Water,Pressure,0.03,2.25,10.56336699,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
500000,18.97366596,Water,Pressure,0.027,2.025,10.03925534,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
500000,18.97366596,Water,Pressure,0.0249,1.8675,9.654217674,0.000075,0.00866,0.0003,7,0.0001,0.001,0.6,1000
500000,22.13594362,R-134a,Pressure,0.000494495,0.092707026,0.988474375,0.000035,0.09,0.00051,13,0.0064,0.00023,0.01409,1232
490332.5,18.78934272,Water,Pressure,0.00590943,0.667863962,3.048473354,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
490332.5,18.78934272,Water,Pressure,0.00550189,0.621805158,2.890758624,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
490332.5,18.78934272,Water,Pressure,0.00520755,0.588539838,2.778099863,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
483000,16.0660356,FC-72,Pressure,0.006204286,11.400375,27.21745263,0.000047,0.005,0.0007,12,0.000049,0.00064,0.057,1680
483000,15.1068693,FC-72,Pressure,0.002250857,4.13595,10.62983158,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
483000,22.70500477,PAO-2,Pressure,0.1,1.442577007,6.3624,0.000028,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
483000,20.66288432,PSF-3,Pressure,0.049795918,1.396359002,5.486017699,0.000028,0.004,0.00015,47,0.000049,0.00269,0.113,898
483000,15.58645245,FC-72,Pressure,0.004242,7.794675,13.31917895,0.000023,0.005,0.0007,12,0.000049,0.00064,0.057,1680
460000,15.77238092,Water,Pressure,0.047060302,6.278148548,9.438196069,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
460000,15.77238092,Water,Pressure,0.046554516,6.210673424,9.368268847,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
460000,15.77238092,Water,Pressure,0.045640112,6.088685967,9.241243659,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
460000,15.77238092,Water,Pressure,0.04498817,6.001712684,9.150193747,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
460000,15.77238092,Water,Pressure,0.044715846,5.965382933,9.112039498,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
460000,15.77238092,Water,Pressure,0.043428592,5.793654847,8.930695644,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
455330,18.1062862,Water,Pressure,0.02934833,3.763444697,7.25182888,0.000128234,0.01451,0.00056,7,0.0002,0.001,0.6,1000
450000,18,Water,Pressure,0.022,1.804,9.494245498,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
450000,18,Water,Pressure,0.02,1.64,9.067087157,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
450000,18,Water,Pressure,0.0181,1.4842,8.640304621,0.000082,0.00866,0.0003,7,0.0001,0.001,0.6,1000
423350,17.45886594,Water,Pressure,0.028151494,3.678704469,6.698981344,0.000130675,0.01451,0.00056,7,0.0002,0.001,0.6,1000
405076,17.07790151,Water,Pressure,0.027286116,3.606603549,6.411345227,0.000132177,0.01451,0.00056,7,0.0002,0.001,0.6,1000
400000,18.38477631,Water,Pressure,0.0591102,104.5884057,226.1768964,0.00176938,0.05,0.0045,7,0.002,0.001,0.6,1000
400000,18.38477631,Water,Pressure,0.0344809,47.52192119,116.4084403,0.00137821,0.05,0.0045,7,0.002,0.001,0.6,1000
400000,18.38477631,Water,Pressure,0.0246292,21.71389085,52.28738984,0.000881632,0.05,0.0045,7,0.002,0.001,0.6,1000
400000,18.38477631,Water,Pressure,0.0106462,7.539340746,22.92340961,0.000708172,0.05,0.0045,7,0.002,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.52770444,5.542200865,0.000214514,0.0100037,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.5165385,5.535075384,0.000209975,0.0130909,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.50537256,6.61167005,0.000205436,0.029974,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.5019384,6.449002502,0.00020404,0.028141,0.00064,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.241536,5.370232,0.000204,0.00511968,0.00046,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.49850178,5.703241332,0.000202643,0.0150204,0.00064,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.239168,5.335224,0.000202,0.0076104,0.00046,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.492492,6.212109904,0.0002002,0.025102,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.48991392,6.022882241,0.000199152,0.0231243,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.4873383,5.876895764,0.000198105,0.0201336,0.00064,7,0.0019635,0.001,0.6,1000
400000,15,Water,Pressure,0.00246,0.4873383,5.669051922,0.000198105,0.0180111,0.00064,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.234432,5.216607,0.000198,0.00986066,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.227328,5.008224,0.000192,0.0129956,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.21904,4.716544167,0.000185,0.0150873,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.210752,4.044516,0.000178,0.0230136,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.209568,4.1956965,0.000177,0.0198757,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.209568,3.8633495,0.000177,0.0249056,0.00046,7,0.0019635,0.001,0.6,1000
400000,14,Water,Pressure,0.001184,0.2072,4.304941667,0.000175,0.0178632,0.00046,7,0.0019635,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.7458722,0.000108,0.0235238,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.7291826,0.000108,0.0209524,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.7068914,0.000108,0.0177143,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.6709634,0.000108,0.0259048,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.6157088,0.000108,0.0153333,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.5672186,0.000108,0.0293333,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.520946,0.000108,0.0317143,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.5130548,0.000108,0.0130476,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.002955,0.31914,1.4457816,0.000108,0.0354286,0.0004,7,0.0009,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.051,5.508,11.3695267,0.000108,0.00866,0.0003,7,0.0001,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.053,5.671,11.94999183,0.000107,0.00866,0.0003,7,0.0001,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.055,5.83,12.44691151,0.000106,0.00866,0.0003,7,0.0001,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.0157,1.3973,8.392147668,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.014,1.246,7.940236283,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
400000,16.97056275,Water,Pressure,0.012,1.068,7.370519963,0.000089,0.00866,0.0003,7,0.0001,0.001,0.6,1000
395000,16.86416319,Water,Pressure,0.0591102,99,213,0.001674838,0.05,0.00445,7,0.002,0.001,0.6,1000
395000,16.86416319,Water,Pressure,0.0344809,42,105,0.001218066,0.05,0.00445,7,0.002,0.001,0.6,1000
392266,16.80569903,Water,Pressure,0.00672453,0.846438421,3.708939118,0.000125873,0.018,0.00051,7,0.000314,0.001,0.6,1000
